age,income,tenure,education,marital_status,segment,credit_limit,balance,utilization,transactions_3m,avg_spend,digital_usage,web_visits_30d,preferred_channel,last_contact_days,last_contact_channel,prev_response,offers_received_6m,delinq_12m,complaints_12m,risk_segment,city,campaign_type,target
27,24521.9,5,Secundaria,Soltero,Preferente,28274.74,21576.93,0.763,25,227.13,0.201,6.0,Web,33,Email,0,1,0,0,Medio,Piura,Cero Interés,0
66,33778.48,7,Universitario,Casado,Masivo,14810.54,8104.43,0.547,13,22.14,0.34,11.0,Call,128,App,0,2,0,0,Bajo,Lima,Cashback,0
45,21038.04,5,Secundaria,Casado,Preferente,15233.78,12866.77,0.845,56,179.86,0.193,0.0,Call,298,App,1,1,2,0,Medio,Arequipa,Upgrade,0
48,14431.38,20,Tecnico,Casado,Premium,12112.37,9838.95,0.812,58,117.67,0.079,4.0,Sucursal,138,Email,0,1,0,0,Bajo,Lima,Cashback,0
41,8000.0,5,Universitario,Soltero,Masivo,23049.81,4746.94,0.206,59,281.72,0.429,4.0,,237,SMS,0,2,0,1,Bajo,Arequipa,Cero Interés,0
30,18681.61,7,Universitario,Casado,Preferente,23345.2,1639.09,0.07,35,354.47,0.459,14.0,App,189,SMS,0,2,0,0,Bajo,Lima,Cashback,0
71,,8,Secundaria,Soltero,Preferente,16108.05,13334.73,0.828,27,277.28,0.675,8.0,Web,346,Email,0,0,0,1,Medio,Cusco,Millas,0
63,19760.98,5,Secundaria,Casado,Preferente,4739.22,3034.0,0.64,17,72.9,0.443,9.0,Call,257,App,0,2,0,0,Bajo,Lima,Cashback,0
55,51695.2,23,Universitario,Soltero,Masivo,13848.76,12146.03,0.877,24,205.19,0.989,3.0,App,60,SMS,0,3,0,0,Bajo,Cusco,Cashback,0
42,33533.43,6,Secundaria,Casado,Premium,14545.07,1816.2,0.125,12,125.7,0.487,5.0,Sucursal,325,Email,0,2,1,0,Bajo,Piura,Cero Interés,0
65,26702.98,12,Tecnico,Casado,Premium,11838.48,11107.36,0.938,32,234.53,0.449,0.0,Call,78,SMS,0,1,0,0,Alto,Lima,Millas,0
50,11147.4,14,Secundaria,Soltero,Preferente,8116.69,7597.27,0.936,69,342.97,0.266,8.0,Call,331,SMS,0,3,1,0,Bajo,Trujillo,Millas,0
44,13953.74,7,Secundaria,Casado,Masivo,4120.33,1200.35,0.291,30,263.39,0.615,4.0,Call,155,App,0,3,1,0,Bajo,Lima,Upgrade,1
45,17198.5,12,Universitario,Soltero,Preferente,25298.0,2601.24,0.103,42,255.72,0.812,0.0,App,37,Email,0,2,0,1,Medio,Lima,Millas,1
33,12237.94,5,Secundaria,Casado,Masivo,20191.18,7770.46,0.385,49,441.31,0.967,9.0,Call,276,Call,0,3,0,0,Medio,Lima,Millas,0
25,23161.17,12,Universitario,Casado,Preferente,15241.16,6719.18,0.441,33,144.68,0.143,3.0,App,352,SMS,0,2,0,0,Bajo,Chiclayo,Cashback,0
50,21556.97,1,Universitario,Casado,Masivo,10451.59,3051.72,0.292,33,386.38,0.027,8.0,App,235,App,1,1,0,0,Alto,Lima,Cero Interés,0
68,10465.57,11,Secundaria,Soltero,Masivo,17520.77,1729.07,0.099,63,216.4,0.978,9.0,Sucursal,202,Email,0,1,0,0,Bajo,Lima,Cero Interés,0
24,32807.37,9,Universitario,Soltero,Masivo,16428.91,13638.34,0.83,43,553.19,0.417,21.0,App,73,SMS,0,0,0,0,Medio,Trujillo,Millas,0
67,18980.27,9,Tecnico,Soltero,Preferente,12191.95,2928.56,0.24,60,285.7,0.674,5.0,Sucursal,215,Email,0,3,0,0,Bajo,Lima,Cashback,0
65,8000.0,3,Universitario,Soltero,Masivo,17727.81,14818.22,0.836,82,35.93,0.95,8.0,Web,289,Email,0,5,1,0,Medio,Lima,Cero Interés,0
35,17576.68,24,Universitario,Casado,Preferente,18586.69,5256.1,0.283,24,206.68,0.024,7.0,,85,SMS,0,0,2,0,Bajo,Lima,Cero Interés,0
55,20756.26,1,Universitario,Soltero,Masivo,19811.49,16144.5,0.815,37,99.3,0.172,4.0,App,314,App,1,1,0,0,Medio,Trujillo,Cero Interés,1
29,29330.88,4,Tecnico,Soltero,Masivo,8783.05,2674.48,0.305,36,507.82,0.793,8.0,App,288,Call,0,1,1,0,Bajo,Arequipa,Cero Interés,0
61,15233.65,3,Universitario,Soltero,Masivo,18018.81,2535.27,0.141,31,166.12,0.682,11.0,Call,359,SMS,0,2,0,0,Bajo,Arequipa,Cashback,0
58,27281.64,24,Universitario,Casado,Preferente,23242.99,18372.27,0.79,32,401.63,0.447,10.0,Web,13,Call,0,1,0,0,Medio,Lima,Millas,1
40,19802.65,8,Tecnico,Casado,Masivo,17074.58,5118.9,0.3,65,365.8,0.959,11.0,Sucursal,99,Call,0,2,0,0,Medio,Piura,Cashback,0
24,9343.84,11,Secundaria,Casado,Preferente,30457.47,9988.62,0.328,41,111.59,0.659,3.0,Sucursal,86,Email,0,1,0,0,Bajo,Lima,Cashback,1
73,8887.64,19,Secundaria,Divorciado,Masivo,13737.24,5729.46,0.417,84,68.66,0.029,8.0,App,185,App,0,3,0,0,Alto,Cusco,Millas,0
45,31611.62,2,Tecnico,Soltero,Premium,2975.94,1771.36,0.595,32,369.7,0.102,0.0,Web,302,App,0,3,1,0,Medio,Lima,Upgrade,0
69,32793.71,2,Tecnico,Casado,Masivo,9057.74,5638.69,0.623,67,210.05,0.885,0.0,,90,SMS,0,3,0,1,Medio,Lima,Upgrade,0
57,21193.6,5,Postgrado,Soltero,Masivo,10314.88,1219.35,0.118,71,252.33,0.959,16.0,Web,279,SMS,0,3,1,1,Medio,Lima,Cero Interés,0
63,38095.57,17,Postgrado,Casado,Masivo,18910.06,17166.52,0.908,38,270.39,0.245,8.0,App,84,Email,0,3,0,0,Bajo,Lima,Millas,0
62,30586.22,24,Secundaria,Soltero,Masivo,20822.82,2016.54,0.097,48,10.0,0.224,11.0,Web,317,Email,0,0,2,0,Medio,Cusco,Cashback,0
31,25382.48,15,Postgrado,Divorciado,Masivo,15952.73,12798.69,0.802,55,241.67,0.044,11.0,App,199,Email,1,1,0,0,Bajo,Cusco,Cashback,1
40,11433.97,21,Universitario,Casado,Preferente,17048.17,11829.63,0.694,29,387.78,0.116,7.0,Web,182,App,0,2,2,1,Bajo,Trujillo,Millas,0
46,42860.86,22,Tecnico,Casado,Preferente,28405.53,8821.14,0.311,69,39.01,0.242,14.0,App,13,Email,0,2,0,1,Bajo,Lima,Millas,0
47,23579.92,7,Postgrado,Casado,Masivo,9182.38,5393.98,0.587,25,348.11,0.91,7.0,Web,107,Email,0,3,0,0,Bajo,Lima,Millas,0
23,14869.7,5,Universitario,Soltero,Preferente,14489.88,7891.96,0.545,30,223.97,0.135,0.0,Web,51,App,0,1,2,1,Medio,Lima,Cero Interés,0
50,12911.39,4,Universitario,Soltero,Masivo,11833.05,7694.36,0.65,30,113.55,0.077,8.0,Web,268,Email,0,2,0,1,Bajo,Lima,Millas,0
29,20504.34,20,Secundaria,Divorciado,Preferente,6782.91,4842.49,0.714,44,291.57,0.979,12.0,Web,172,Email,0,3,0,0,Medio,Chiclayo,Cero Interés,0
61,8000.0,17,Secundaria,Casado,Masivo,1000.0,513.37,0.513,45,247.93,0.109,0.0,Web,304,App,0,3,0,0,Bajo,Lima,Millas,0
57,25586.92,21,Postgrado,Soltero,Masivo,24075.59,16722.58,0.695,28,413.56,0.171,6.0,App,169,Email,1,2,0,0,Bajo,Lima,Cashback,0
70,11194.91,13,Secundaria,Soltero,Preferente,9650.6,2203.11,0.228,37,183.0,0.527,13.0,App,348,Call,0,4,0,0,Alto,Lima,Cashback,0
61,21705.13,24,Secundaria,Soltero,Masivo,13247.25,8919.52,0.673,19,404.72,0.271,12.0,Call,246,App,0,3,0,1,Medio,Lima,Cero Interés,0
40,13893.69,22,Tecnico,Casado,Masivo,18014.14,7835.66,0.435,60,245.57,0.416,7.0,Web,18,App,0,4,0,0,Medio,Trujillo,Cero Interés,0
73,15800.4,20,Tecnico,Casado,Preferente,6670.05,5982.63,0.897,52,301.92,0.417,4.0,Web,61,SMS,0,2,0,0,Medio,Trujillo,Cashback,1
43,12351.65,20,Tecnico,Casado,Preferente,9159.1,7510.27,0.82,33,207.78,0.575,7.0,Call,234,Email,0,2,0,0,Bajo,Arequipa,Upgrade,1
38,16637.01,3,Postgrado,Soltero,Preferente,14847.78,760.06,0.051,36,134.68,0.02,9.0,Web,304,App,1,2,0,0,Medio,Lima,Cashback,0
69,46383.07,18,Tecnico,Divorciado,Preferente,11932.03,8764.08,0.734,28,363.32,0.811,11.0,App,231,SMS,1,0,0,0,Bajo,Lima,Millas,1
41,36045.23,23,Universitario,Soltero,Masivo,6068.73,3594.17,0.592,23,244.47,0.356,7.0,Call,263,Call,0,1,0,1,Bajo,Lima,Cashback,0
25,21530.79,8,Universitario,Soltero,Preferente,19250.3,13337.09,0.693,20,210.48,0.996,15.0,Web,68,App,0,2,0,1,Medio,Lima,Millas,0
46,17807.11,20,Universitario,Divorciado,Preferente,11750.35,3319.21,0.282,23,369.41,0.856,9.0,Web,66,App,0,4,1,0,Bajo,Lima,Millas,0
63,27504.38,9,Secundaria,Casado,Masivo,15957.25,12268.83,0.769,57,429.77,0.018,6.0,App,314,Call,1,2,0,0,Bajo,Arequipa,Millas,1
31,31728.96,6,Tecnico,Casado,Masivo,15398.53,2719.22,0.177,58,186.22,0.839,5.0,App,133,Email,0,0,0,0,Medio,Trujillo,Upgrade,0
45,11909.49,18,Universitario,Casado,Preferente,21787.29,18714.38,0.859,15,447.1,0.201,3.0,App,209,App,0,1,0,0,Bajo,Trujillo,Upgrade,0
28,17348.83,4,Universitario,Soltero,Preferente,17471.48,7704.76,0.441,52,156.19,0.0,12.0,App,356,SMS,0,2,0,0,Medio,Trujillo,Millas,0
58,8000.0,12,Tecnico,Soltero,Masivo,8961.82,1305.77,0.146,18,275.47,0.045,6.0,Call,159,SMS,1,1,0,0,Bajo,Lima,Millas,1
46,31620.19,23,Postgrado,Soltero,Preferente,23135.44,15746.45,0.681,53,353.4,0.86,0.0,App,325,App,0,1,1,0,Medio,Trujillo,Upgrade,0
38,50640.76,4,Universitario,Soltero,Masivo,11687.04,4652.75,0.398,41,10.0,0.352,5.0,Web,133,Email,1,2,0,0,Bajo,Lima,Cashback,1
33,18770.49,4,Secundaria,Casado,Masivo,9303.0,2596.0,0.279,30,132.75,0.33,14.0,Call,52,SMS,0,2,0,0,Bajo,Lima,Cashback,0
51,8000.0,23,Universitario,Casado,Preferente,8265.83,5390.42,0.652,48,198.46,0.803,5.0,Sucursal,176,App,1,2,0,0,Bajo,Arequipa,Cashback,0
57,24451.46,19,Universitario,Casado,Masivo,1000.0,350.13,0.35,64,281.95,0.993,1.0,Web,297,SMS,0,3,0,0,Medio,Lima,Millas,1
71,11475.34,12,Universitario,Casado,Masivo,10740.66,2634.11,0.245,6,249.99,0.899,5.0,App,95,SMS,0,1,0,0,Bajo,Lima,Cashback,0
44,12943.19,10,Secundaria,Soltero,Preferente,17776.61,10533.71,0.593,60,10.0,0.963,10.0,Sucursal,58,App,0,1,0,0,Bajo,Lima,Cero Interés,0
29,24668.64,24,Secundaria,Soltero,Masivo,5466.93,1997.38,0.365,25,202.62,0.088,6.0,Call,164,SMS,1,2,0,0,Alto,Lima,Cero Interés,0
65,20481.49,18,Tecnico,Soltero,Preferente,26960.21,2629.34,0.098,65,61.57,0.408,3.0,Web,183,SMS,0,1,0,0,Medio,Lima,Millas,0
55,14128.45,22,Tecnico,Casado,Premium,1000.0,254.22,0.254,55,175.16,0.244,10.0,Web,275,SMS,0,4,0,0,Bajo,Piura,Cashback,1
58,13032.44,3,Secundaria,Casado,Preferente,9517.64,4337.83,0.456,19,207.68,0.618,13.0,Call,281,Email,0,1,0,0,Bajo,Cusco,Millas,0
26,19204.85,13,Universitario,Viudo,Preferente,4587.21,2600.94,0.567,29,274.55,0.969,15.0,App,11,SMS,0,2,1,0,Medio,Cusco,Millas,1
37,14695.07,18,Universitario,Casado,Premium,21426.51,10453.58,0.488,48,194.91,0.966,8.0,App,312,Email,0,5,1,2,Bajo,Cusco,Cashback,1
62,10356.62,1,Secundaria,Casado,Preferente,19567.47,17158.63,0.877,57,252.47,0.665,6.0,App,45,SMS,1,0,0,0,Alto,Arequipa,Upgrade,0
65,15271.11,13,Universitario,Casado,Preferente,13137.73,4696.18,0.357,48,183.6,0.775,10.0,App,69,SMS,0,2,3,0,Alto,Trujillo,Cashback,0
44,21371.13,2,Secundaria,Casado,Masivo,5047.57,4192.32,0.831,47,288.5,0.873,14.0,Call,43,SMS,0,1,1,0,Bajo,Lima,Millas,0
64,16497.24,22,Tecnico,Divorciado,Preferente,6610.76,3178.48,0.481,28,91.99,0.441,13.0,Sucursal,67,App,0,2,0,0,Bajo,Lima,Cero Interés,0
66,8895.01,17,Universitario,Casado,Masivo,16749.91,11108.51,0.663,40,240.32,0.553,7.0,App,262,Call,0,2,0,0,Medio,Trujillo,Cero Interés,0
41,,5,Universitario,Soltero,Masivo,10267.02,5504.76,0.536,38,111.3,0.875,3.0,Sucursal,256,Call,0,0,0,0,Bajo,Lima,Cashback,1
69,8000.0,13,Secundaria,Soltero,Masivo,11065.71,1636.98,0.148,12,200.21,0.392,9.0,Sucursal,43,Email,1,1,0,0,Medio,Lima,Cero Interés,1
36,14426.43,3,Universitario,Casado,Masivo,14483.71,6231.37,0.43,46,273.27,0.375,7.0,App,305,SMS,0,2,0,0,Bajo,Lima,Millas,0
33,13225.48,20,Universitario,Soltero,Masivo,12111.97,7965.82,0.658,33,140.5,0.833,10.0,App,144,Email,0,0,2,0,Medio,Lima,Cashback,0
57,19420.6,5,Universitario,Casado,Preferente,2752.4,821.34,0.298,64,232.76,0.873,2.0,Call,280,Email,0,2,0,0,Alto,Lima,Cero Interés,0
55,23880.82,15,Postgrado,Viudo,Masivo,5683.74,1973.48,0.347,61,205.43,0.761,4.0,App,60,App,0,1,0,0,Bajo,Lima,Cashback,0
28,31678.15,2,Secundaria,Soltero,Preferente,5853.27,3986.22,0.681,43,494.69,0.468,12.0,App,356,Email,0,2,1,1,Medio,Lima,Millas,0
65,12629.59,4,Secundaria,Soltero,Premium,9907.22,7037.11,0.71,59,290.15,0.412,8.0,Call,8,App,0,5,0,3,Medio,Cusco,Cero Interés,0
31,24180.24,24,Universitario,Soltero,Preferente,15630.66,8325.52,0.533,51,307.75,0.118,1.0,Sucursal,13,App,1,3,1,0,Medio,Lima,Cero Interés,0
64,19888.74,10,Tecnico,Casado,Masivo,15342.35,10934.51,0.713,39,142.67,0.322,,App,324,Call,0,2,2,0,Bajo,Piura,Cashback,0
21,8000.0,3,Tecnico,Casado,Masivo,23306.17,18825.86,0.808,14,10.0,0.232,6.0,Call,20,Call,1,2,1,0,Medio,Piura,Millas,0
64,46642.63,17,Secundaria,Soltero,Masivo,5150.82,2616.43,0.508,37,174.46,0.186,9.0,Call,343,Email,0,1,0,1,Medio,Lima,Cero Interés,1
63,8783.34,5,Secundaria,Casado,Preferente,17144.91,11589.67,0.676,33,52.23,0.751,5.0,App,363,Call,0,3,0,0,Bajo,Lima,Millas,0
63,22242.24,15,Secundaria,Casado,Masivo,9493.75,579.45,0.061,38,273.58,0.66,9.0,App,353,SMS,0,3,1,0,Medio,Lima,Cashback,0
56,21916.17,20,Secundaria,Soltero,Masivo,28828.63,2200.72,0.076,35,279.8,0.068,14.0,Sucursal,155,App,1,3,0,0,Bajo,Trujillo,Cero Interés,0
46,20698.54,17,Postgrado,Soltero,Masivo,14258.67,8447.36,0.592,59,271.59,0.163,14.0,App,242,SMS,0,0,0,1,Bajo,Trujillo,Cero Interés,0
59,14082.83,6,Tecnico,Soltero,Premium,11068.79,6886.44,0.622,61,237.86,0.359,15.0,App,265,Call,0,4,0,0,Medio,Piura,Millas,0
35,27272.29,6,Universitario,Casado,Masivo,16920.11,5319.74,0.314,31,140.08,0.439,5.0,App,183,App,0,2,1,0,Medio,Lima,Millas,0
63,8265.26,6,Secundaria,Soltero,Masivo,16379.45,9924.35,0.606,16,158.89,0.85,11.0,App,55,SMS,0,1,1,0,Bajo,Lima,Cashback,1
51,17449.84,16,Tecnico,Soltero,Masivo,12340.39,1746.85,0.142,22,296.23,0.039,0.0,Web,236,SMS,0,2,0,0,Medio,Arequipa,Cashback,0
45,13603.23,17,Postgrado,Casado,Masivo,19157.54,14223.07,0.742,62,485.45,0.224,9.0,App,136,SMS,0,1,0,0,Bajo,Lima,Cero Interés,1
48,12853.24,13,Secundaria,Casado,Premium,25572.67,9404.6,0.368,57,275.87,0.886,,App,201,App,1,2,0,1,Bajo,Chiclayo,Cashback,0
51,,10,Tecnico,Casado,Masivo,21427.2,12090.88,0.564,19,290.62,0.37,1.0,Sucursal,363,SMS,1,1,0,0,Bajo,Lima,Cashback,1
23,30907.04,2,Universitario,Soltero,Masivo,13957.73,12998.94,0.931,13,474.79,0.223,3.0,Web,123,App,1,2,0,0,Bajo,Cusco,Cero Interés,0
28,15189.69,21,Secundaria,Casado,Masivo,27436.64,14127.02,0.515,29,244.76,0.583,,Web,282,Email,0,0,0,0,Bajo,Lima,Millas,1
34,26644.57,16,Secundaria,Casado,Masivo,18374.75,9628.39,0.524,72,134.22,0.961,6.0,App,3,App,0,2,1,0,Bajo,Lima,Cashback,1
27,18487.87,16,Postgrado,Casado,Preferente,7315.96,1044.99,0.143,47,292.18,0.934,12.0,App,301,SMS,0,3,0,0,Medio,Lima,Upgrade,1
44,11540.68,3,Tecnico,Casado,Preferente,15384.38,1383.29,0.09,35,445.77,0.526,11.0,Web,219,Email,1,1,0,0,Medio,Lima,Cero Interés,0
57,15851.57,7,Universitario,Casado,Preferente,13482.72,11869.89,0.88,37,355.06,0.104,0.0,Call,171,Email,0,2,0,0,Bajo,Arequipa,Cero Interés,0
56,15525.78,8,Secundaria,Soltero,Masivo,11210.24,9302.42,0.83,6,273.38,0.147,2.0,App,149,Email,1,0,0,0,Medio,Lima,Upgrade,0
46,12729.41,15,Secundaria,Casado,Premium,17200.6,13405.91,0.779,34,18.49,0.314,7.0,Sucursal,58,App,0,3,0,0,Medio,Piura,Cashback,0
67,22342.4,19,Tecnico,Casado,Preferente,1846.92,1744.98,0.945,62,64.16,0.861,5.0,Sucursal,204,App,0,0,0,0,Medio,Cusco,Cashback,1
51,20278.63,21,Universitario,Soltero,Preferente,26221.85,3595.56,0.137,32,289.89,0.799,9.0,Call,348,SMS,0,1,0,0,Bajo,Lima,Millas,1
25,8141.06,13,Tecnico,Soltero,Masivo,19283.56,14253.7,0.739,35,207.63,0.976,9.0,Call,246,Call,0,4,0,0,Medio,Lima,Millas,0
62,8000.0,9,Universitario,Casado,Preferente,2110.24,317.92,0.151,45,238.44,0.506,0.0,App,1,Call,0,5,0,0,Bajo,Lima,Cashback,0
52,22300.01,10,Universitario,Divorciado,Preferente,19200.59,11929.21,0.621,19,366.85,0.58,6.0,Web,19,App,1,1,0,1,Alto,Lima,Millas,1
55,11996.34,18,Universitario,Soltero,Masivo,18102.87,12602.27,0.696,45,99.03,0.316,3.0,Web,326,Email,1,4,0,0,Bajo,Lima,Cero Interés,0
51,20973.62,8,Tecnico,Casado,Masivo,25257.09,17027.6,0.674,25,174.97,0.511,8.0,App,11,App,0,3,0,0,Medio,Lima,Cashback,1
50,26647.9,10,Universitario,Soltero,Masivo,27068.29,7806.36,0.288,31,394.05,0.724,11.0,,79,Email,1,1,0,0,Bajo,Arequipa,Millas,0
25,9552.17,19,Universitario,Casado,Masivo,28247.74,23869.0,0.845,33,99.6,0.04,6.0,App,154,Email,1,2,0,0,Medio,Lima,Millas,0
51,8903.78,14,Secundaria,Casado,Masivo,13055.47,7303.76,0.559,33,389.34,0.887,1.0,App,360,SMS,0,0,0,0,Bajo,Lima,Cashback,0
63,41656.63,12,Universitario,Casado,Premium,18785.71,16383.85,0.872,41,292.33,0.613,14.0,Sucursal,149,SMS,1,5,0,0,Bajo,Lima,Cero Interés,0
37,21499.51,18,Tecnico,Divorciado,Masivo,11637.33,5238.92,0.45,38,234.87,0.313,4.0,Sucursal,38,Email,0,2,0,0,Medio,Chiclayo,Upgrade,1
53,14623.42,7,Postgrado,Divorciado,Masivo,21849.0,7836.55,0.359,36,267.6,0.323,5.0,Call,352,Email,0,2,0,0,Bajo,Lima,Cero Interés,0
22,11305.33,2,Postgrado,Divorciado,Masivo,1000.0,858.74,0.859,42,294.24,0.991,0.0,App,9,SMS,0,2,0,0,Bajo,Lima,Cero Interés,1
39,13971.57,19,Secundaria,Casado,Preferente,6072.18,4761.51,0.784,23,328.83,0.298,10.0,App,104,Email,0,1,0,0,Medio,Cusco,Upgrade,0
44,9943.89,11,Tecnico,Casado,Masivo,11962.89,1525.03,0.127,1,10.0,0.559,8.0,App,20,Call,0,1,2,0,Bajo,Lima,Cero Interés,0
74,28048.94,8,Universitario,Soltero,Preferente,14578.51,6484.75,0.445,39,401.98,0.36,10.0,Call,212,App,0,0,0,0,Bajo,Lima,Millas,0
32,12229.72,3,Universitario,Soltero,Masivo,16144.32,1907.59,0.118,27,279.4,0.554,3.0,App,113,SMS,0,4,0,0,Bajo,Piura,Cashback,0
35,,23,Universitario,Casado,Masivo,23920.47,19929.82,0.833,48,388.21,0.424,11.0,Web,58,App,0,3,0,0,Alto,Arequipa,Cero Interés,1
43,14760.14,18,Secundaria,Soltero,Masivo,10449.48,5021.15,0.481,30,303.68,0.488,15.0,App,306,Email,0,1,2,0,Bajo,Trujillo,Millas,0
74,10703.49,7,Universitario,Divorciado,Masivo,5954.95,1699.39,0.285,5,512.0,0.08,0.0,App,234,Email,0,1,0,0,Medio,Lima,Cero Interés,0
67,14571.88,15,Postgrado,Soltero,Masivo,12287.18,1391.25,0.113,37,164.43,0.064,10.0,Call,192,SMS,1,3,1,0,Bajo,Chiclayo,Upgrade,0
22,8000.0,12,Postgrado,Soltero,Masivo,10757.59,3375.08,0.314,58,444.03,0.853,0.0,Sucursal,242,SMS,0,1,1,0,Bajo,Chiclayo,Upgrade,0
33,16977.02,8,Secundaria,Soltero,Masivo,18872.47,7138.81,0.378,45,146.57,0.85,10.0,Web,106,SMS,1,0,1,0,Bajo,Lima,Cero Interés,0
65,16563.23,8,Postgrado,Soltero,Masivo,25675.01,23707.39,0.923,14,315.41,0.979,13.0,Call,208,App,0,2,0,0,Medio,Lima,Cero Interés,1
24,27238.08,2,Secundaria,Soltero,Premium,25045.05,23569.98,0.941,28,377.42,0.614,2.0,App,87,Call,0,0,3,0,Medio,Lima,Cero Interés,1
67,8000.0,24,Universitario,Casado,Preferente,22626.1,10556.99,0.467,31,252.22,0.302,3.0,App,105,SMS,0,1,0,0,Bajo,Arequipa,Cero Interés,0
36,32239.03,23,Secundaria,Soltero,Masivo,11013.13,9608.08,0.872,36,16.22,0.876,8.0,App,21,SMS,0,3,0,0,Medio,Lima,Upgrade,0
70,27181.71,21,Universitario,Casado,Masivo,13867.81,10662.52,0.769,29,266.08,0.948,7.0,Sucursal,360,Email,0,1,0,0,Bajo,Lima,Cashback,0
36,33725.91,8,Secundaria,Soltero,Masivo,17972.28,13345.07,0.743,8,193.47,0.293,1.0,App,336,Email,0,2,0,0,Bajo,Lima,Cero Interés,0
44,17564.57,24,Secundaria,Casado,Masivo,9605.63,2804.18,0.292,37,358.32,0.416,5.0,Call,245,App,0,3,0,0,Bajo,Lima,Cero Interés,0
56,29939.93,7,Tecnico,Casado,Masivo,10257.73,7367.8,0.718,65,143.32,0.506,4.0,App,193,App,0,2,0,0,Bajo,Lima,Millas,1
27,8641.9,20,Postgrado,Soltero,Premium,17621.31,16598.86,0.942,28,184.55,0.433,6.0,Call,247,Email,0,3,2,0,Bajo,Lima,Cashback,0
51,25758.6,3,Universitario,Soltero,Masivo,5448.98,4391.51,0.806,17,169.21,0.584,16.0,Sucursal,293,Call,0,0,0,0,Bajo,Arequipa,Cashback,0
48,12263.94,8,Universitario,Casado,Preferente,22648.23,12183.12,0.538,65,212.51,0.903,8.0,Call,67,Email,0,0,2,0,Medio,Lima,Cashback,0
63,,14,Universitario,Casado,Masivo,12189.34,619.53,0.051,74,260.23,0.915,2.0,App,66,Call,0,1,0,0,Bajo,Lima,Cero Interés,1
74,10279.73,24,Tecnico,Soltero,Masivo,18783.88,7308.34,0.389,32,318.6,0.103,9.0,Web,235,Call,0,2,0,0,Bajo,Lima,Cero Interés,0
56,,7,Secundaria,Casado,Masivo,16447.7,10505.0,0.639,44,309.23,0.717,6.0,App,340,SMS,0,3,0,0,Medio,Lima,Millas,0
